1000 5000
383 886 27
915 793 35
386 492 49
421 362 27
690 59 13
926 540 26
172 736 11
368 567 29
782 530 12
123 67 35
929 802 22
58 69 17
393 456 11
42 229 23
421 919 34
537 198 24
315 370 13
526 91 30
956 873 12
170 996 31
305 925 34
327 336 5
846 729 13
857 124 45
582 545 14
367 434 14
43 750 37
808 276 28
788 584 3
651 754 49
932 60 26
368 739 12
226 586 44
539 795 20
434 378 17
601 97 2
317 492 2
756 301 30
286 441 15
689 444 19
440 729 31
117 97 21
481 675 9
927 567 6
497 353 36
965 306 33
219 624 28
871 732 29
503 19 20
368 708 15
340 149 46
723 618 45
846 451 21
555 379 38
764 228 41
350 193 0
34 764 24
914 987 6
743 491 27
365 859 36
432 551 37
228 275 7
474 121 8
395 29 37
235 793 18
428 143 11
928 529 26
404 443 13
613 538 6
840 904 18
128 688 19
917 917 46
324 743 20
183 490 49
772 725 44
590 505 39
954 786 19
82 542 14
197 507 5
804 348 11
622 828 49
343 746 18
340 422 11
810 605 1
661 730 28
305 320 36
444 626 22
465 708 16
282 258 24
637 62 24
600 36 2
899 379 0
468 71 23
131 881 30
933 894 10
163 199 31
899 996 9
773 813 18
190 95 26
466 84 40
90 684 26
542 936 7
445 756 29
418 887 12
348 172 9
9 336 10
342 587 6
301 713 22
321 255 19
599 721 4
939 811 40
667 705 28
127 150 34
658 920 24
422 269 46
81 630 34
292 972 22
850 625 35
222 299 40
42 898 13
298 190 24
590 209 31
819 336 32
155 994 4
379 769 23
776 850 5
860 142 29
884 993 5
621 567 4
613 961 4
326 259 44
202 202 6
784 21 42
868 528 39
872 908 8
498 36 8
753 248 3
333 133 48
890 754 17
746 368 29
500 46 38
797 249 40
303 33 13
497 253 42
686 125 2
996 975 38
157 729 36
460 414 21
460 304 28
27 50 48
556 902 44
697 699 43
39 2 28
403 500 31
647 538 9
151 535 34
339 692 15
127 504 29
49 964 35
429 343 35
177 900 38
971 949 39
367 988 42
795 743 44
829 390 32
340 541 19
826 232 11
42 360 17
23 761 31
309 190 25
996 367 27
234 690 26
524 57 14
168 205 8
312 386 0
346 726 44
916 552 28
529 946 40
647 970 1
80 631 43
857 627 12
886 214 5
512 90 12
479 610 19
189 274 5
641 620 33
987 888 38
566 770 34
856 417 6
260 849 37
205 59 17
518 945 33
873 458 23
637 289 33
607 478 7
314 471 29
100 459 18
438 25 38
74 233 7
681 493 8
270 699 17
839 569 13
622 794 23
847 431 12
682 390 42
791 57 15
521 157 24
491 947 1
231 21 37
740 54 30
98 325 31
516 516 2
231 139 46
404 338 30
218 21 20
862 812 29
977 685 36
904 176 33
207 759 7
744 499 11
127 950 36
560 818 5
563 49 44
711 805 34
291 375 5
614 589 18
993 918 5
882 822 32
717 30 43
574 126 43
486 253 43
74 814 13
179 377 12
775 88 19
710 732 44
17 346 35
137 691 3
943 573 28
925 291 10
18 217 36
963 55 40
858 130 4
571 661 33
685 789 23
604 851 5
250 868 3
485 6 45
639 949 20
967 226 13
677 596 31
865 560 36
955 770 18
211 342 32
196 379 21
270 984 22
427 234 40
283 72 48
830 63 47
950 30 23
714 59 22
47 924 32
435 232 4
954 443 48
486 640 28
159 262 12
683 41 48
723 324 22
122 154 35
821 457 15
747 171 26
269 218 1
703 653 33
907 959 28
806 797 20
84 308 34
698 991 26
898 715 2
171 189 9
506 10 16
224 109 39
0 378 9
53 81 14
338 989 26
67 147 23
787 231 32
122 281 25
850 179 40
254 350 31
813 857 44
181 81 3
720 433 32
181 487 15
296 825 4
722 892 1
297 32 34
181 506 15
57 708 45
999 962 47
483 776 4
977 309 37
932 382 21
266 563 10
682 211 35
86 285 30
990 583 14
476 116 20
892 525 28
839 525 40
136 360 18
643 337 28
582 621 10
955 888 25
815 570 37
853 8 22
783 350 7
97 827 26
269 71 1
149 910 28
639 398 38
610 393 27
890 976 49
552 931 37
777 99 7
566 952 17
641 735 18
298 184 45
776 805 16
428 954 28
308 593 28
197 555 22
774 445 0
325 997 33
412 127 32
421 693 34
439 334 21
159 985 7
354 761 12
972 541 16
852 850 12
482 399 17
154 173 15
506 851 14
790 263 41
172 37 37
859 828 21
280 987 6
590 341 20
352 665 11
69 517 11
83 351 12
300 506 38
667 364 39
32 154 4
875 679 41
412 538 19
636 170 6
844 760 49
814 465 14
326 886 33
39 969 35
152 621 43
790 289 9
631 673 14
735 548 45
877 313 33
198 949 5
155 793 18
156 960 33
823 286 21
358 677 40
245 181 11
990 323 0
100 954 25
364 42 24
659 919 39
844 469 38
551 976 33
19 133 43
304 956 31
475 666 11
967 912 42
729 902 18
131 2 24
207 718 16
183 377 37
472 573 7
62 125 33
797 496 18
141 153 26
474 980 43
485 948 5
30 29 9
898 160 12
424 719 30
641 902 10
480 726 33
789 140 8
723 938 7
493 431 10
220 905 40
613 391 38
270 421 17
829 671 30
743 95 49
24 88 4
386 569 32
969 710 23
30 433 13
587 279 44
649 499 1
339 464 42
330 86 15
349 915 36
881 11 34
133 387 22
287 773 43
519 742 4
244 124 39
259 63 18
353 712 19
705 404 33
799 734 19
315 435 37
853 669 0
487 802 37
562 89 10
205 960 4
911 557 29
403 816 42
821 522 5
443 579 11
528 378 47
700 45 32
787 899 1
589 386 3
426 948 44
36 506 7
92 417 14
921 820 30
166 994 4
123 437 33
484 317 12
931 17 9
165 156 8
69 745 45
422 171 45
569 559 1
676 652 21
340 925 43
172 91 39
527 566 28
812 50 46
124 333 13
186 499 20
794 568 15
141 342 39
437 263 48
590 939 2
513 631 28
257 804 21
346 683 38
225 495 40
421 972 26
634 158 25
356 952 45
472 446 39
111 883 3
661 825 42
216 339 24
344 596 30
267 294 13
757 519 10
650 292 32
876 279 40
953 635 45
598 107 41
937 570 26
540 584 1
83 800 42
609 496 40
939 763 35
304 873 6
164 523 1
349 751 30
339 704 15
986 302 25
79 591 47
407 484 31
561 919 31
53 528 27
494 819 43
581 123 18
187 639 43
438 988 44
320 680 48
486 18 2
463 98 45
10 505 29
142 66 48
425 472 28
853 966 47
748 547 22
516 86 12
159 877 0
553 197 32
3 35 1
107 498 49
154 861 6
334 3 25
784 428 47
763 633 15
560 381 14
185 897 0
97 408 29
349 313 29
634 316 14
585 775 15
986 930 26
892 616 29
569 752 9
366 515 45
833 428 26
847 613 26
300 62 36
629 763 0
508 397 16
775 982 44
540 320 26
518 565 44
499 134 46
908 853 12
303 686 42
432 534 7
810 834 19
596 815 34
696 324 32
465 451 16
361 343 37
187 861 2
981 360 38
879 620 41
293 924 28
135 708 12
942 870 46
163 466 11
500 515 37
234 332 40
950 693 33
339 880 44
293 213 4
382 444 25
323 738 1
951 873 11
465 168 31
813 683 49
977 535 14
464 769 46
107 72 41
740 411 23
587 57 36
793 439 31
620 114 21
371 418 46
534 883 14
567 697 0
67 674 35
433 490 7
132 949 29
523 690 42
147 629 49
335 422 40
968 43 5
339 766 25
936 653 10
52 220 7
204 287 33
540 721 26
997 205 27
878 728 19
170 227 48
520 563 21
660 883 16
267 223 32
292 511 35
553 563 8
862 768 45
198 660 18
376 9 23
503 887 4
673 57 31
823 929 46
44 942 30
12 209 5
747 854 16
134 759 31
742 973 1
638 171 13
958 899 22
484 755 11
90 780 21
923 603 0
320 0 42
952 12 4
807 759 8
525 894 17
158 636 40
560 626 14
973 937 15
748 421 20
409 863 0
832 786 4
833 458 6
127 410 18
631 569 28
341 446 24
458 605 10
901 165 39
867 490 26
732 238 49
705 0 12
457 832 48
461 17 7
169 497 19
